,0
161,http://mmadecisions.com/decision/14056/Dan-Ige-vs-Nate-Landwehr
162,http://mmadecisions.com/decision/14055/Marc-Andre-Barriault-vs-Eryk-Anders
163,http://mmadecisions.com/decision/14053/Jasmine-Jasudavicius-vs-Miranda-Maverick
164,http://mmadecisions.com/decision/14051/Kyle-Nelson-vs-Blake-Bilder
165,http://mmadecisions.com/decision/14050/Steve-Erceg-vs-David-Dvorak
166,http://mmadecisions.com/decision/14049/Diana-Belbita-vs-Maria-Oliveira
167,http://mmadecisions.com/decision/14045/Amir-Albazi-vs-Kai-Kara-France
168,http://mmadecisions.com/decision/14044/Alex-Caceres-vs-Daniel-Pineda
169,http://mmadecisions.com/decision/14042/Tim-Elliott-vs-Victor-Altamirano
170,http://mmadecisions.com/decision/14040/Elizeu-Zaleski-dos-Santos-vs-Abubakar-Nurmagomedov
171,http://mmadecisions.com/decision/14039/Daniel-Santos-vs-Johnny-Munoz
172,http://mmadecisions.com/decision/14037/John-Castaneda-vs-Muin-Gafurov
173,http://mmadecisions.com/decision/14032/Elise-Reed-vs-Jinh-Yu-Frey
174,http://mmadecisions.com/decision/14030/Philipe-Lins-vs-Maxim-Grishin
175,http://mmadecisions.com/decision/14028/Mackenzie-Dern-vs-Angela-Hill
176,http://mmadecisions.com/decision/14026/Lupita-Godinez-vs-Emily-Ducote
177,http://mmadecisions.com/decision/14022/Karolina-Kowalkiewicz-vs-Vanessa-Demopoulos
178,http://mmadecisions.com/decision/14020/Rodrigo-Nascimento-vs-Ilir-Latifi
179,http://mmadecisions.com/decision/14019/Chase-Hooper-vs-Nick-Fiore
180,http://mmadecisions.com/decision/14017/Themba-Gorimbo-vs-Takashi-Sato
181,http://mmadecisions.com/decision/14015/Johnny-Walker-vs-Anthony-Smith
182,http://mmadecisions.com/decision/14010/Karl-Williams-vs-Chase-Sherman
183,http://mmadecisions.com/decision/14009/Douglas-Silva-de-Andrade-vs-Cody-Stamann
184,http://mmadecisions.com/decision/14008/Mandy-Bohm-vs-Ji-Yeon-Kim
185,http://mmadecisions.com/decision/13995/Aljamain-Sterling-vs-Henry-Cejudo
186,http://mmadecisions.com/decision/13994/Belal-Muhammad-vs-Gilbert-Burns
187,http://mmadecisions.com/decision/13992/Movsar-Evloev-vs-Diego-Lopes
188,http://mmadecisions.com/decision/13991/Charles-Jourdain-vs-Kron-Gracie
189,http://mmadecisions.com/decision/13988/Khaos-Williams-vs-Rolando-Bedoya
190,http://mmadecisions.com/decision/13987/Virna-Jandiroba-vs-Marina-Rodriguez
191,http://mmadecisions.com/decision/13970/Marcos-Rogério-de-Lima-vs-Waldo-Cortes-Acosta
192,http://mmadecisions.com/decision/13975/Trey-Waters-vs-Josh-Quinlan
193,http://mmadecisions.com/decision/13969/Martin-Buday-vs-Jake-Collier
194,http://mmadecisions.com/decision/13968/Cody-Durden-vs-Charles-Johnson
195,http://mmadecisions.com/decision/13965/Jamey-Lyn-Horth-vs-Hailey-Cowan
196,http://mmadecisions.com/decision/13948/Iasmin-Lucindo-vs-Brogan-Walker
197,http://mmadecisions.com/decision/13947/Jeremiah-Wells-vs-Matthew-Semelsberger
198,http://mmadecisions.com/decision/13944/Norma-Dumont-vs-Karol-Rosa
199,http://mmadecisions.com/decision/13943/Mohammed-Usman-vs-Junior-Tafa
200,http://mmadecisions.com/decision/13942/William-Gomis-vs-Francis-Marshall
201,http://mmadecisions.com/decision/13933/Max-Holloway-vs-Arnold-Allen
202,http://mmadecisions.com/decision/13931/Azamat-Murzakanov-vs-Dustin-Jacoby
203,http://mmadecisions.com/decision/13929/Pedro-Munhoz-vs-Chris-Gutierrez
204,http://mmadecisions.com/decision/13928/Rafa-Garcia-vs-Clay-Guida
205,http://mmadecisions.com/decision/13915/Daniel-Zellhuber-vs-Lando-Vannata
206,http://mmadecisions.com/decision/13913/Gaston-Bolanos-vs-Aaron-Phillips
207,http://mmadecisions.com/decision/13912/Joselyne-Edwards-vs-Lucie-Pudilova
208,http://mmadecisions.com/decision/13907/Gilbert-Burns-vs-Jorge-Masvidal
209,http://mmadecisions.com/decision/13904/Christian-Rodriguez-vs-Raul-Rosas-Jr.
210,http://mmadecisions.com/decision/13903/Kelvin-Gastelum-vs-Chris-Curtis
211,http://mmadecisions.com/decision/13902/Luana-Pinheiro-vs-Michelle-Waterson-Gomez
212,http://mmadecisions.com/decision/13899/Lupita-Godinez-vs-Cynthia-Calvillo
213,http://mmadecisions.com/decision/13898/Ignacio-Bahamondes-vs-Trey-Ogden
214,http://mmadecisions.com/decision/13896/Sam-Hughes-vs-Jaqueline-Amorim
215,http://mmadecisions.com/decision/13877/Cory-Sandhagen-vs-Marlon-Vera
216,http://mmadecisions.com/decision/13876/Holly-Holm-vs-Yana-Santos
217,http://mmadecisions.com/decision/13874/Maycee-Barber-vs-Andrea-Lee
218,http://mmadecisions.com/decision/13872/Albert-Duraev-vs-Chidi-Njokuani
219,http://mmadecisions.com/decision/13870/Lucas-Alexander-vs-Steven-Peterson
220,http://mmadecisions.com/decision/13869/Trevin-Giles-vs-Preston-Parsons
221,http://mmadecisions.com/decision/13867/Victor-Altamirano-vs-Vinicius-Salvador
222,http://mmadecisions.com/decision/13863/Leon-Edwards-vs-Kamaru-Usman
