,Judge 1 Fighter 1 Round 1,Judge 1 Fighter 2 Round 1,Judge 1 Fighter 1 Round 2,Judge 1 Fighter 2 Round 2,Judge 1 Fighter 1 Round 3,Judge 1 Fighter 2 Round 3,Judge 1 Fighter 1 Round 4,Judge 1 Fighter 2 Round 4,Judge 1 Fighter 1 Round 5,Judge 1 Fighter 2 Round 5,Judge 2 Fighter 1 Round 1,Judge 2 Fighter 2 Round 1,Judge 2 Fighter 1 Round 2,Judge 2 Fighter 2 Round 2,Judge 2 Fighter 1 Round 3,Judge 2 Fighter 2 Round 3,Judge 2 Fighter 1 Round 4,Judge 2 Fighter 2 Round 4,Judge 2 Fighter 1 Round 5,Judge 2 Fighter 2 Round 5,Judge 3 Fighter 1 Round 1,Judge 3 Fighter 2 Round 1,Judge 3 Fighter 1 Round 2,Judge 3 Fighter 2 Round 2,Judge 3 Fighter 1 Round 3,Judge 3 Fighter 2 Round 3,Judge 3 Fighter 1 Round 4,Judge 3 Fighter 2 Round 4,Judge 3 Fighter 1 Round 5,Judge 3 Fighter 2 Round 5,Date,Fighter 1,Fighter 2,Judge 1,Judge 2,Judge 3
0,10,9,10,9,10,8,,,,,10,8,10,8,10,8,,,,,10,9,10,9,10,8,,,,,"August 19, 2023",Ian Garry,Neil Magny,Ben Cartlidge,David Ginsberg,Marcel Varela
0,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"August 19, 2023",Mario Bautista,Da'Mon Blackshear,Sal D'Amato,Chris Lee,Steve Rita
0,10,9,9,10,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"August 19, 2023",Marlon Vera,Pedro Munhoz,Ben Cartlidge,Nick Mahmood,Marcel Varela
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"August 19, 2023",Brad Tavares,Chris Weidman,Ben Cartlidge,Sal D'Amato,Nick Mahmood
0,9,10,10,9,10,9,,,,,10,9,10,9,10,9,,,,,9,10,10,9,10,9,,,,,"August 19, 2023",Brad Katona,Cody Gibson,David Ginsberg,Chris Lee,Nick Mahmood
0,9,10,10,9,9,10,,,,,10,9,10,9,9,10,,,,,10,9,10,9,9,10,,,,,"August 19, 2023",Andre Petroski,Gerald Meerschaert,Sal D'Amato,Steve Rita,Marcel Varela
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"August 19, 2023",Natalia Silva,Andrea Lee,Ben Cartlidge,David Ginsberg,Nick Mahmood
0,10,9,10,9,9,10,10,9,9,10,9,10,10,9,9,10,10,9,10,9,9,10,10,9,10,9,10,9,10,9,"August 12, 2023",Vicente Luque,Rafael dos Anjos,Sal D'Amato,Junichiro Kamijo,Ron McCarthy
0,9,10,10,9,10,9,,,,,10,9,9,10,10,9,,,,,10,9,9,10,10,9,,,,,"August 12, 2023",Cub Swanson,Hakeem Dawodu,Sal D'Amato,Ron McCarthy,Jacob Montalvo
0,9,10,10,9,10,9,,,,,10,9,9,10,10,9,,,,,10,9,9,10,10,9,,,,,"August 12, 2023",A.J. Dobson,Tafon Nchukwi,Sal D'Amato,Ron McCarthy,Jacob Montalvo
