,age_fighter1,reach_fighter1,height_fighter1,days_since_last_comp_fighter1,num_fights_fighter1,last_5_win_ratio_fighter1,L15_ER_average_fighter1,prev_elo_fighter1,prev_trueskill_fighter1,win/lose_streak_fighter1,finish_pcnt_fighter1,total_win/loss_ratio_fighter1,days_since_started_fighter1,sig_strikes_per_minute_fighter1,age_fighter2,reach_fighter2,height_fighter2,days_since_last_comp_fighter2,num_fights_fighter2,last_5_win_ratio_fighter2,L15_ER_average_fighter2,prev_elo_fighter2,prev_trueskill_fighter2,win/lose_streak_fighter2,finish_pcnt_fighter2,total_win/loss_ratio_fighter2,days_since_started_fighter2,sig_strikes_per_minute_fighter2,division_Catch Weight,division_Featherweight,division_Flyweight,division_Heavyweight,division_Light Heavyweight,division_Lightweight,division_Middleweight,division_Open Weight,division_Super Heavyweight,division_Welterweight,division_Women's Bantamweight,division_Women's Featherweight,division_Women's Flyweight,division_Women's Strawweight
5972,9065.0,63.0,61.0,224.0,4.0,0.644355,0.0896,1206.099785637104,30.31941694304071,-1,0.3333333333333333,0.6666666666666666,560,1.3111111111111111,10599.0,63.0,65.0,210.0,2.0,0.872435,0.636,1220.785397583897,27.639441250521003,1,0.0,1.0,210,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5185,12860.0,80.0,75.0,119.0,17.0,0.6,0.25493333333333335,1315.7880706848116,34.15336821044877,-1,0.6875,0.625,1883,0.3138629386109391,9776.0,79.0,75.0,133.0,5.0,0.7135,0.30133333333333334,1295.7230747241406,29.840641893744703,1,1.0,0.75,574,1.1134676564156947,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3622,9263.0,67.0,67.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,9832.0,69.0,67.0,133.0,8.0,0.4,0.37079999999999996,1196.5506189142204,24.698846685513985,-1,0.8571428571428571,0.42857142857142855,1001,0.8868467670504872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4900,10902.0,72.0,71.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10332.0,71.0,72.0,210.0,2.0,0.872435,0.988,1246.013358402687,27.79037441326204,1,1.0,1.0,210,56.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1112,10918.0,68.0,65.0,217.0,4.0,0.394355,0.011866666666666668,1117.371832494189,20.72839854343982,-2,0.6666666666666666,0.3333333333333333,574,0.7888888888888889,10486.0,71.0,70.0,274.0,8.0,0.4,0.2233333333333333,1188.6579550584083,25.904180614832672,-1,0.5714285714285714,0.42857142857142855,1400,0.5478750640040962,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5193,10178.0,69.0,68.0,210.0,4.0,0.394355,0.6677333333333334,1158.6546884393356,21.39541988055066,1,0.3333333333333333,0.3333333333333333,371,1.2533333333333332,9093.0,72.0,68.0,217.0,2.0,0.122435,0.04,1161.353165272296,22.098254327496814,-1,1.0,0.0,217,1.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
998,11654.0,66.0,66.0,160.0,9.0,0.2,0.4741333333333333,1134.168937677222,21.80111167196032,1,0.875,0.25,1708,0.7464212678936606,11165.0,64.0,65.0,160.0,3.0,0.888853,0.6834666666666666,1256.1574059085235,33.167113723906546,2,0.0,1.0,217,3.4666666666666663,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2088,9705.0,71.0,71.0,133.0,3.0,0.513853,0.6938666666666666,1191.4237358026012,25.73712373630774,-1,0.5,0.5,274,2.8000000000000003,11052.0,71.0,72.0,133.0,10.0,0.8,0.5745333333333332,1301.6657983668442,27.905497067274744,-1,0.6666666666666666,0.6666666666666666,1491,0.8920957691046244,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5496,11092.0,73.0,68.0,245.0,12.0,0.4,0.030133333333333345,1237.2104923501863,26.66573022025072,-2,0.8181818181818182,0.45454545454545453,2492,0.40211088147360396,7508.0,67.0,68.0,210.0,2.0,0.872435,0.908,1257.5050086143312,29.205271266712927,1,1.0,1.0,210,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1758,10475.0,72.0,67.0,147.0,3.0,0.513853,0.41973333333333335,1186.9517311795948,24.84403944654744,1,0.5,0.5,371,2.844444444444444,11321.0,66.0,66.0,204.0,2.0,0.122435,0.4999737878964292,1200.0,25.0,-1,1.0,0.0,204,3.2666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,0
