,Round,KD_fighter1,Sig. str. %_fighter1,Sub. att_fighter1,Rev._fighter1,Ctrl_fighter1,lose_streak_fighter1,round_fighter1,age_fighter1,win_loss_ratio_fighter1,win_streak_fighter1,lose_streak_fighter1,num_fights_fighter1,Sig. str. landed_fighter1,Sig. str. attempted_fighter1,Total str. landed_fighter1,Total str. attempted_fighter1,Total Head landed_fighter1,Total Head attempted_fighter1,Total Body landed_fighter1,Total Body attempted_fighter1,Total Leg landed_fighter1,Total Leg attempted_fighter1,Total Distance landed_fighter1,Total Distance attempted_fighter1,Total Clinch landed_fighter1,Total Clinch attempted_fighter1,Total Ground landed_fighter1,Total Ground attempted_fighter1,Total Takedowns_fighter1,Total Takedowns attempted_fighter1,division_Catch Weight_fighter1,division_Featherweight_fighter1,division_Flyweight_fighter1,division_Heavyweight_fighter1,division_Light Heavyweight_fighter1,division_Lightweight_fighter1,division_Middleweight_fighter1,division_Welterweight_fighter1,division_Women's Bantamweight_fighter1,division_Women's Featherweight_fighter1,division_Women's Flyweight_fighter1,division_Women's Strawweight_fighter1,stance_Orthodox_fighter1,stance_Southpaw_fighter1,stance_Switch_fighter1,KD_fighter2,Sig. str. %_fighter2,Sub. att_fighter2,Rev._fighter2,Ctrl_fighter2,lose_streak_fighter2,age_fighter2,win_loss_ratio_fighter2,win_streak_fighter2,lose_streak_fighter2,num_fights_fighter2,Sig. str. landed_fighter2,Sig. str. attempted_fighter2,Total str. landed_fighter2,Total str. attempted_fighter2,Total Head landed_fighter2,Total Head attempted_fighter2,Total Body landed_fighter2,Total Body attempted_fighter2,Total Leg landed_fighter2,Total Leg attempted_fighter2,Total Distance landed_fighter2,Total Distance attempted_fighter2,Total Clinch landed_fighter2,Total Clinch attempted_fighter2,Total Ground landed_fighter2,Total Ground attempted_fighter2,Total Takedowns_fighter2,Total Takedowns attempted_fighter2,division_Catch Weight_fighter2,division_Featherweight_fighter2,division_Flyweight_fighter2,division_Heavyweight_fighter2,division_Light Heavyweight_fighter2,division_Lightweight_fighter2,division_Middleweight_fighter2,division_Welterweight_fighter2,division_Women's Bantamweight_fighter2,division_Women's Featherweight_fighter2,division_Women's Flyweight_fighter2,division_Women's Strawweight_fighter2,stance_Orthodox_fighter2,stance_Southpaw_fighter2,stance_Switch_fighter2,round_winner
31,3,0,0.44,0,0,26,0.0,3.0,11489.0,0.5714285714285714,1.0,0.0,21.0,30,68,31,69,23,59,4,6,3,3,27,64,3,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.42,0,0,1,1.0,13051.0,0.6666666666666666,0.0,1.0,6.0,37,88,41,94,25,73,11,14,1,1,32,83,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
32,1,0,0.34,0,0,1,0.0,3.0,11098.0,1.0,3.0,0.0,3.0,15,43,15,43,5,29,4,6,6,8,14,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.29,0,0,0,3.0,13606.0,0.4615384615384615,0.0,3.0,13.0,20,67,20,67,5,39,4,11,11,17,20,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
33,2,0,0.38,0,0,47,0.0,3.0,11098.0,1.0,3.0,0.0,3.0,19,50,20,55,9,34,5,7,5,9,15,42,4,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.3,0,0,0,3.0,13606.0,0.4615384615384615,0.0,3.0,13.0,19,62,22,65,9,43,4,7,6,12,18,59,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
34,3,0,0.34,0,0,37,0.0,3.0,11098.0,1.0,3.0,0.0,3.0,10,29,13,34,2,16,6,8,2,5,9,25,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.37,0,0,61,3.0,13606.0,0.4615384615384615,0.0,3.0,13.0,22,59,28,67,4,32,8,16,10,11,15,52,7,7,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
35,1,0,0.5,0,0,0,0.0,3.0,9355.0,0.75,3.0,0.0,4.0,26,51,26,51,7,19,4,15,15,17,26,51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.4,0,0,0,1.0,12198.0,0.3333333333333333,0.0,1.0,3.0,9,22,9,22,3,12,1,2,5,8,9,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36,2,0,0.45,0,0,0,0.0,3.0,9355.0,0.75,3.0,0.0,4.0,30,66,30,66,9,33,11,20,10,13,30,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.35,0,0,0,1.0,12198.0,0.3333333333333333,0.0,1.0,3.0,16,45,16,45,8,33,5,7,3,5,16,45,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,3,0,0.51,0,0,0,0.0,3.0,9355.0,0.75,3.0,0.0,4.0,43,83,43,83,12,36,15,30,16,17,43,83,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.4,0,0,0,1.0,12198.0,0.3333333333333333,0.0,1.0,3.0,17,42,17,42,13,36,4,6,0,0,17,42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,1,0,0.44,0,1,2,0.0,3.0,11241.0,0.4285714285714285,1.0,0.0,7.0,11,25,13,27,11,25,0,0,0,0,5,18,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.28,3,0,204,1.0,10150.0,0.0,0.0,1.0,1.0,7,25,11,34,7,17,0,5,0,3,6,22,0,0,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
39,2,0,0.28,0,0,209,0.0,3.0,11241.0,0.4285714285714285,1.0,0.0,7.0,6,21,34,55,6,20,0,1,0,0,3,16,0,0,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0,0,17,1.0,10150.0,0.0,0.0,1.0,1.0,3,6,8,11,3,5,0,1,0,0,3,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
40,3,0,0.5,0,0,211,0.0,3.0,11241.0,0.4285714285714285,1.0,0.0,7.0,29,58,60,94,28,56,1,2,0,0,11,28,0,0,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.09,0,0,1,1.0,10150.0,0.0,0.0,1.0,1.0,2,21,33,64,2,20,0,1,0,0,2,21,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
