,Round,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td %,Td %,Sub. att,Rev.,Ctrl,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,URL
3,2,Nadia Kassem,0,18 of 36,50%,64 of 88,0 of 0,---,5,1,0:57,18 of 36,9 of 23,5 of 9,4 of 4,13 of 29,3 of 4,2 of 3,http://www.ufcstats.com/fight-details/23b6ffc0223f8cce
4,3,Alex Chambers,0,18 of 28,64%,30 of 40,1 of 2,50%,0,0,1:55,18 of 28,10 of 20,2 of 2,6 of 6,13 of 23,0 of 0,5 of 5,http://www.ufcstats.com/fight-details/23b6ffc0223f8cce
5,3,Nadia Kassem,0,19 of 47,40%,44 of 78,0 of 0,---,0,1,0:31,19 of 47,9 of 30,8 of 13,2 of 4,13 of 39,5 of 6,1 of 2,http://www.ufcstats.com/fight-details/23b6ffc0223f8cce
0,1,Jenel Lausa,0,2 of 11,18%,4 of 13,1 of 1,100%,0,0,1:10,2 of 11,2 of 11,0 of 0,0 of 0,0 of 7,0 of 1,2 of 3,http://www.ufcstats.com/fight-details/c06eaf92bdfde8e6
1,1,Eric Shelton,0,15 of 22,68%,34 of 43,2 of 3,66%,0,0,1:30,15 of 22,12 of 18,2 of 2,1 of 2,4 of 11,0 of 0,11 of 11,http://www.ufcstats.com/fight-details/c06eaf92bdfde8e6
2,2,Jenel Lausa,0,1 of 5,20%,9 of 13,0 of 1,0%,2,0,0:01,1 of 5,1 of 4,0 of 0,0 of 1,1 of 5,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/c06eaf92bdfde8e6
3,2,Eric Shelton,0,35 of 46,76%,64 of 80,2 of 2,100%,0,0,3:51,35 of 46,30 of 41,3 of 3,2 of 2,2 of 8,0 of 0,33 of 38,http://www.ufcstats.com/fight-details/c06eaf92bdfde8e6
4,3,Jenel Lausa,0,2 of 14,14%,7 of 20,0 of 0,---,0,0,0:00,2 of 14,1 of 13,0 of 0,1 of 1,1 of 11,0 of 0,1 of 3,http://www.ufcstats.com/fight-details/c06eaf92bdfde8e6
5,3,Eric Shelton,0,36 of 48,75%,86 of 102,1 of 2,50%,0,0,3:34,36 of 48,29 of 41,6 of 6,1 of 1,10 of 13,0 of 0,26 of 35,http://www.ufcstats.com/fight-details/c06eaf92bdfde8e6
0,1,Anthony Hamilton,0,19 of 26,73%,27 of 38,1 of 2,50%,0,0,4:12,19 of 26,2 of 7,16 of 16,1 of 3,2 of 9,2 of 2,15 of 15,http://www.ufcstats.com/fight-details/51ec53f442d2cc9b
1,1,Adam Wieczorek,0,11 of 17,64%,19 of 26,0 of 0,---,0,0,0:00,11 of 17,3 of 9,6 of 6,2 of 2,5 of 11,4 of 4,2 of 2,http://www.ufcstats.com/fight-details/51ec53f442d2cc9b
2,2,Anthony Hamilton,0,4 of 7,57%,7 of 10,1 of 1,100%,0,0,0:44,4 of 7,1 of 4,0 of 0,3 of 3,4 of 7,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/51ec53f442d2cc9b
3,2,Adam Wieczorek,0,10 of 29,34%,28 of 49,0 of 0,---,0,0,2:11,10 of 29,6 of 23,3 of 4,1 of 2,6 of 23,1 of 1,3 of 5,http://www.ufcstats.com/fight-details/51ec53f442d2cc9b
4,3,Anthony Hamilton,0,9 of 24,37%,10 of 27,0 of 6,0%,0,0,2:03,9 of 24,3 of 17,5 of 6,1 of 1,5 of 20,4 of 4,0 of 0,http://www.ufcstats.com/fight-details/51ec53f442d2cc9b
5,3,Adam Wieczorek,0,21 of 49,42%,26 of 54,0 of 1,0%,0,0,0:00,21 of 49,14 of 42,6 of 6,1 of 1,15 of 43,6 of 6,0 of 0,http://www.ufcstats.com/fight-details/51ec53f442d2cc9b
0,1,Dustin Poirier,0,33 of 63,52%,39 of 70,1 of 2,50%,0,0,1:51,33 of 63,28 of 56,5 of 6,0 of 1,21 of 49,8 of 10,4 of 4,http://www.ufcstats.com/fight-details/b55605791a4d72b9
