,Round,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td %,Td %,Sub. att,Rev.,Ctrl,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,URL
0,1,Matt Hughes,0,10 of 24,41%,20 of 37,1 of 3,33%,0,0,2:04,10 of 24,3 of 16,5 of 5,2 of 3,4 of 14,5 of 6,1 of 4,http://www.ufcstats.com/fight-details/d1e144ce44599f3a
1,1,Matt Serra,1,5 of 17,29%,23 of 35,0 of 0,---,0,0,0:09,5 of 17,3 of 11,1 of 5,1 of 1,4 of 14,1 of 1,0 of 2,http://www.ufcstats.com/fight-details/d1e144ce44599f3a
2,2,Matt Hughes,0,21 of 25,84%,43 of 47,1 of 1,100%,0,0,3:40,21 of 25,8 of 12,13 of 13,0 of 0,4 of 5,0 of 0,17 of 20,http://www.ufcstats.com/fight-details/d1e144ce44599f3a
3,2,Matt Serra,0,3 of 11,27%,3 of 11,0 of 0,---,0,0,0:00,3 of 11,2 of 8,1 of 3,0 of 0,3 of 11,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/d1e144ce44599f3a
4,3,Matt Hughes,0,3 of 9,33%,16 of 22,1 of 1,100%,0,0,2:31,3 of 9,3 of 9,0 of 0,0 of 0,3 of 9,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/d1e144ce44599f3a
5,3,Matt Serra,0,6 of 13,46%,10 of 17,1 of 1,100%,0,0,0:44,6 of 13,4 of 9,1 of 3,1 of 1,3 of 9,0 of 0,3 of 4,http://www.ufcstats.com/fight-details/d1e144ce44599f3a
0,1,Drew McFedries,2,8 of 12,66%,8 of 12,0 of 0,---,0,0,0:10,8 of 12,8 of 12,0 of 0,0 of 0,2 of 3,3 of 3,3 of 6,http://www.ufcstats.com/fight-details/62fbd9d089a9a306
1,1,Xavier Foupa-Pokam,0,0 of 0,---,0 of 0,0 of 0,---,0,0,0:00,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/62fbd9d089a9a306
0,1,Chael Sonnen,0,20 of 28,71%,47 of 57,1 of 1,100%,0,0,4:43,20 of 28,17 of 25,1 of 1,2 of 2,2 of 3,0 of 0,18 of 25,http://www.ufcstats.com/fight-details/1e87e0e4da55c92f
1,1,Dan Miller,0,2 of 4,50%,5 of 7,0 of 0,---,1,0,0:00,2 of 4,1 of 3,0 of 0,1 of 1,2 of 4,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/1e87e0e4da55c92f
2,2,Chael Sonnen,0,7 of 15,46%,41 of 51,1 of 2,50%,0,0,4:33,7 of 15,4 of 12,0 of 0,3 of 3,3 of 3,0 of 0,4 of 12,http://www.ufcstats.com/fight-details/1e87e0e4da55c92f
3,2,Dan Miller,0,3 of 7,42%,19 of 24,0 of 0,---,1,0,0:01,3 of 7,2 of 4,1 of 2,0 of 1,1 of 3,2 of 4,0 of 0,http://www.ufcstats.com/fight-details/1e87e0e4da55c92f
4,3,Chael Sonnen,0,9 of 18,50%,45 of 58,1 of 2,50%,0,0,4:36,9 of 18,5 of 14,1 of 1,3 of 3,3 of 6,0 of 0,6 of 12,http://www.ufcstats.com/fight-details/1e87e0e4da55c92f
5,3,Dan Miller,0,4 of 10,40%,8 of 15,0 of 0,---,0,0,0:00,4 of 10,3 of 9,1 of 1,0 of 0,3 of 9,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/1e87e0e4da55c92f
0,1,Frankie Edgar,0,27 of 61,44%,29 of 63,1 of 3,33%,0,0,0:45,27 of 61,13 of 43,9 of 11,5 of 7,25 of 59,2 of 2,0 of 0,http://www.ufcstats.com/fight-details/eb23f3574b656624
1,1,Sean Sherk,0,12 of 61,19%,15 of 64,0 of 0,---,0,0,0:05,12 of 61,9 of 58,2 of 2,1 of 1,11 of 59,1 of 2,0 of 0,http://www.ufcstats.com/fight-details/eb23f3574b656624
2,2,Frankie Edgar,0,33 of 72,45%,33 of 72,0 of 2,0%,0,0,0:00,33 of 72,23 of 59,8 of 8,2 of 5,30 of 68,3 of 4,0 of 0,http://www.ufcstats.com/fight-details/eb23f3574b656624
3,2,Sean Sherk,0,6 of 70,8%,6 of 70,0 of 0,---,0,0,0:00,6 of 70,6 of 69,0 of 1,0 of 0,6 of 69,0 of 1,0 of 0,http://www.ufcstats.com/fight-details/eb23f3574b656624
4,3,Frankie Edgar,0,14 of 58,24%,14 of 58,0 of 2,0%,1,0,0:00,14 of 58,8 of 50,5 of 6,1 of 2,13 of 57,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/eb23f3574b656624
5,3,Sean Sherk,0,9 of 73,12%,9 of 73,1 of 3,33%,0,0,0:20,9 of 73,7 of 70,1 of 2,1 of 1,8 of 70,1 of 3,0 of 0,http://www.ufcstats.com/fight-details/eb23f3574b656624
0,1,Brock Larson,0,4 of 10,40%,13 of 19,1 of 1,100%,1,0,2:08,4 of 10,2 of 8,2 of 2,0 of 0,0 of 3,0 of 0,4 of 7,http://www.ufcstats.com/fight-details/b9be472f456cac79
1,1,Mike Pyle,0,1 of 4,25%,3 of 6,0 of 0,---,0,0,0:00,1 of 4,1 of 1,0 of 0,0 of 3,0 of 3,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/b9be472f456cac79
0,1,Tim Hague,0,0 of 5,0%,2 of 8,1 of 1,100%,1,0,0:44,0 of 5,0 of 5,0 of 0,0 of 0,0 of 5,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/f1423b63d81c88ea
1,1,Pat Barry,0,3 of 11,27%,3 of 11,0 of 0,---,0,0,0:00,3 of 11,3 of 11,0 of 0,0 of 0,3 of 11,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/f1423b63d81c88ea
0,1,Kyle Bradley,0,7 of 11,63%,7 of 11,1 of 1,100%,0,0,0:09,7 of 11,4 of 7,3 of 4,0 of 0,3 of 6,1 of 1,3 of 4,http://www.ufcstats.com/fight-details/b4bf090eb5c57903
1,1,Phillipe Nover,0,3 of 11,27%,3 of 11,0 of 0,---,0,0,0:00,3 of 11,1 of 7,1 of 1,1 of 3,2 of 10,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/b4bf090eb5c57903
0,1,Krzysztof Soszynski,1,18 of 50,36%,18 of 50,0 of 0,---,0,0,0:16,18 of 50,15 of 46,0 of 1,3 of 3,14 of 46,2 of 2,2 of 2,http://www.ufcstats.com/fight-details/dd400f38c483f629
1,1,Andre Gusmao,0,17 of 33,51%,18 of 34,0 of 0,---,0,0,0:03,17 of 33,3 of 13,8 of 14,6 of 6,13 of 28,4 of 5,0 of 0,http://www.ufcstats.com/fight-details/dd400f38c483f629
0,1,Yoshiyuki Yoshida,0,4 of 6,66%,4 of 6,0 of 0,---,1,1,1:07,4 of 6,0 of 1,4 of 4,0 of 1,0 of 2,4 of 4,0 of 0,http://www.ufcstats.com/fight-details/54d14f98d4a83def
