,Round,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td %,Td %,Sub. att,Rev.,Ctrl,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,URL
2,2,Chris Curtis,0,51 of 99,51%,51 of 99,0 of 0,---,0,0,0:00,51 of 99,40 of 85,10 of 13,1 of 1,47 of 95,4 of 4,0 of 0,http://www.ufcstats.com/fight-details/ba5005d1116fa45f
3,2,Marc-Andre Barriault,0,45 of 85,52%,45 of 85,0 of 0,---,0,0,0:00,45 of 85,28 of 64,14 of 18,3 of 3,45 of 84,0 of 1,0 of 0,http://www.ufcstats.com/fight-details/ba5005d1116fa45f
4,3,Chris Curtis,0,66 of 111,59%,70 of 115,0 of 0,---,0,0,0:00,66 of 111,46 of 89,20 of 22,0 of 0,46 of 87,20 of 24,0 of 0,http://www.ufcstats.com/fight-details/ba5005d1116fa45f
5,3,Marc-Andre Barriault,0,59 of 112,52%,61 of 114,0 of 0,---,0,0,0:00,59 of 112,41 of 90,15 of 19,3 of 3,42 of 88,17 of 24,0 of 0,http://www.ufcstats.com/fight-details/ba5005d1116fa45f
0,1,Arnold Allen,0,12 of 40,30%,13 of 41,0 of 0,---,0,0,0:00,12 of 40,9 of 36,3 of 4,0 of 0,12 of 40,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/1a7cd191f0cf160c
1,1,Movsar Evloev,0,13 of 28,46%,22 of 38,2 of 9,22%,0,0,1:31,13 of 28,9 of 24,4 of 4,0 of 0,12 of 27,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/1a7cd191f0cf160c
2,2,Arnold Allen,0,18 of 42,42%,18 of 42,0 of 0,---,0,0,0:00,18 of 42,13 of 35,5 of 7,0 of 0,13 of 36,5 of 6,0 of 0,http://www.ufcstats.com/fight-details/1a7cd191f0cf160c
3,2,Movsar Evloev,0,21 of 47,44%,25 of 52,2 of 2,100%,0,0,0:59,21 of 47,15 of 40,4 of 5,2 of 2,18 of 44,2 of 2,1 of 1,http://www.ufcstats.com/fight-details/1a7cd191f0cf160c
4,3,Arnold Allen,0,29 of 58,50%,30 of 60,0 of 0,---,1,0,0:03,29 of 58,19 of 44,9 of 13,1 of 1,21 of 48,4 of 6,4 of 4,http://www.ufcstats.com/fight-details/1a7cd191f0cf160c
5,3,Movsar Evloev,0,17 of 43,39%,25 of 51,1 of 6,16%,0,0,1:01,17 of 43,11 of 37,4 of 4,2 of 2,15 of 39,2 of 4,0 of 0,http://www.ufcstats.com/fight-details/1a7cd191f0cf160c
0,1,Brad Katona,0,20 of 48,41%,23 of 52,1 of 2,50%,0,0,1:14,20 of 48,14 of 41,1 of 2,5 of 5,14 of 39,6 of 9,0 of 0,http://www.ufcstats.com/fight-details/670e4754d8d3d172
1,1,Garrett Armfield,0,31 of 51,60%,31 of 51,0 of 0,---,0,0,0:00,31 of 51,16 of 33,8 of 11,7 of 7,31 of 51,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/670e4754d8d3d172
2,2,Brad Katona,0,25 of 66,37%,27 of 71,1 of 4,25%,0,0,0:27,25 of 66,20 of 60,4 of 4,1 of 2,20 of 58,5 of 8,0 of 0,http://www.ufcstats.com/fight-details/670e4754d8d3d172
3,2,Garrett Armfield,0,41 of 66,62%,41 of 66,0 of 0,---,0,0,0:00,41 of 66,28 of 50,10 of 13,3 of 3,41 of 66,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/670e4754d8d3d172
4,3,Brad Katona,0,19 of 41,46%,26 of 49,2 of 3,66%,0,0,2:54,19 of 41,15 of 37,3 of 3,1 of 1,12 of 29,6 of 11,1 of 1,http://www.ufcstats.com/fight-details/670e4754d8d3d172
5,3,Garrett Armfield,0,33 of 51,64%,58 of 76,0 of 1,0%,0,0,0:00,33 of 51,30 of 48,3 of 3,0 of 0,27 of 45,6 of 6,0 of 0,http://www.ufcstats.com/fight-details/670e4754d8d3d172
0,1,Charles Jourdain,0,18 of 51,35%,20 of 53,0 of 1,0%,0,0,0:05,18 of 51,5 of 35,1 of 2,12 of 14,18 of 51,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/331ddc1141e934d1
1,1,Sean Woodson,0,31 of 72,43%,39 of 80,0 of 0,---,0,0,0:00,31 of 72,19 of 60,6 of 6,6 of 6,28 of 68,3 of 4,0 of 0,http://www.ufcstats.com/fight-details/331ddc1141e934d1
2,2,Charles Jourdain,0,22 of 46,47%,27 of 51,0 of 2,0%,0,0,1:08,22 of 46,8 of 29,9 of 11,5 of 6,18 of 42,4 of 4,0 of 0,http://www.ufcstats.com/fight-details/331ddc1141e934d1
